,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_symptomatic_1,cum_symptomatic_2,cum_symptomatic_3,cum_symptomatic_4,cum_symptomatic_5,cum_symptomatic_6,cum_severe_1,cum_severe_2,cum_severe_3,cum_severe_4,cum_severe_5,cum_severe_6,cum_critical_1,cum_critical_2,cum_critical_3,cum_critical_4,cum_critical_5,cum_critical_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,cum_vaccinated_1,cum_vaccinated_2,cum_vaccinated_3,cum_vaccinated_4,cum_vaccinated_5,cum_vaccinated_6,quar_period,pop_size,pop_infected,location,n_days,pop_type,use_waning,interventions
0,98.0,136.0,182.0,210.0,218.0,221.0,0.0,57.0,99.0,112.0,123.0,125.0,0.0,3.0,11.0,14.0,17.0,19.0,0.0,1.0,1.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,51111.0,51111.0,51111.0,51111.0,51111.0,51111.0,14,51111.80939023018,98.87458010644222,UK,35,hybrid,True,pfizer
0,87.0,122.0,152.0,160.0,162.0,163.0,0.0,57.0,89.0,104.0,108.0,109.0,0.0,2.0,7.0,8.0,10.0,10.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,48739.0,48739.0,48739.0,48739.0,48739.0,48739.0,14,48739.67449679572,87.42981976789704,Japan,35,hybrid,True,pfizer
0,104.0,139.0,176.0,183.0,187.0,187.0,0.0,63.0,95.0,121.0,123.0,123.0,0.0,1.0,4.0,8.0,10.0,10.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,43065.0,43065.0,43065.0,43065.0,43065.0,43065.0,14,43065.950634151755,104.91918439947811,UK,35,hybrid,True,pfizer
0,96.0,151.0,186.0,207.0,215.0,219.0,0.0,53.0,90.0,109.0,116.0,119.0,0.0,0.0,5.0,7.0,8.0,8.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,50384.0,50384.0,50384.0,50384.0,50384.0,50384.0,14,50384.6531178195,96.4087149300031,UK,35,hybrid,True,pfizer
0,85.0,125.0,154.0,162.0,170.0,173.0,0.0,55.0,87.0,104.0,106.0,110.0,0.0,1.0,7.0,8.0,9.0,9.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,56342.0,56342.0,56342.0,56342.0,56342.0,56342.0,14,56342.15682804872,85.79733273508833,France,35,hybrid,True,moderna
0,89.0,119.0,140.0,149.0,150.0,150.0,0.0,54.0,80.0,89.0,92.0,92.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,46287.0,46287.0,46287.0,46287.0,46287.0,46287.0,14,46287.526655274574,89.85335398921458,New Zealand,35,hybrid,True,moderna
0,97.0,135.0,168.0,179.0,191.0,196.0,0.0,66.0,104.0,115.0,123.0,126.0,0.0,1.0,8.0,9.0,10.0,10.0,0.0,0.0,4.0,5.0,6.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,45373.0,45373.0,45373.0,45373.0,45373.0,45373.0,14,45373.66088349288,97.23632310833408,France,35,hybrid,True,moderna
0,114.0,201.0,412.0,663.0,844.0,992.0,0.0,63.0,155.0,290.0,436.0,539.0,0.0,1.0,5.0,15.0,25.0,36.0,0.0,0.0,2.0,4.0,7.0,10.0,0.0,0.0,0.0,0.0,1.0,2.0,44976.0,44976.0,44976.0,44976.0,44976.0,44976.0,14,44976.64696485752,114.19316303629597,UK,35,hybrid,True,az
0,98.0,128.0,163.0,178.0,187.0,187.0,0.0,62.0,88.0,106.0,117.0,119.0,0.0,0.0,8.0,9.0,10.0,10.0,0.0,0.0,4.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,50844.0,50844.0,50844.0,50844.0,50844.0,50844.0,14,50844.03533260872,98.76495476700059,France,35,hybrid,True,pfizer
0,99.0,196.0,442.0,1013.0,2128.0,4169.0,0.0,59.0,168.0,362.0,832.0,1726.0,0.0,2.0,6.0,14.0,38.0,90.0,0.0,0.0,1.0,3.0,12.0,31.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14,40577.12307265424,99.99439705479419,France,35,hybrid,True,none
