,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_symptomatic_1,cum_symptomatic_2,cum_symptomatic_3,cum_symptomatic_4,cum_symptomatic_5,cum_symptomatic_6,cum_severe_1,cum_severe_2,cum_severe_3,cum_severe_4,cum_severe_5,cum_severe_6,cum_critical_1,cum_critical_2,cum_critical_3,cum_critical_4,cum_critical_5,cum_critical_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,cum_vaccinated_1,cum_vaccinated_2,cum_vaccinated_3,cum_vaccinated_4,cum_vaccinated_5,cum_vaccinated_6,quar_period,pop_size,pop_infected,location,n_days,pop_type,use_waning,interventions
0,100.0,166.0,213.0,234.0,238.0,239.0,0.0,70.0,113.0,142.0,151.0,154.0,0.0,1.0,6.0,11.0,11.0,11.0,0.0,0.0,1.0,5.0,5.0,5.0,0.0,0.0,0.0,2.0,2.0,2.0,49809.0,49809.0,49809.0,49809.0,49809.0,49809.0,14,49809.61538645007,100.5339086748304,UK,35,hybrid,True,pfizer
0,112.0,165.0,206.0,231.0,242.0,242.0,0.0,72.0,114.0,138.0,150.0,153.0,0.0,0.0,5.0,7.0,9.0,9.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,46890.0,46890.0,46890.0,46890.0,46890.0,46890.0,14,46890.63346499075,112.47559351878022,New Zealand,35,hybrid,True,moderna
0,87.0,193.0,400.0,619.0,751.0,855.0,0.0,56.0,171.0,304.0,424.0,496.0,0.0,1.0,6.0,16.0,33.0,45.0,0.0,0.0,0.0,3.0,11.0,15.0,0.0,0.0,0.0,0.0,2.0,7.0,52108.0,52108.0,52108.0,52108.0,52108.0,52108.0,14,52108.255796738784,87.16981796725148,Japan,35,hybrid,True,az
0,103.0,261.0,740.0,1697.0,3707.0,7693.0,0.0,64.0,238.0,636.0,1461.0,3072.0,0.0,1.0,7.0,25.0,74.0,166.0,0.0,0.0,3.0,12.0,30.0,62.0,0.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,14,52837.433258785495,103.56089261735718,Japan,35,hybrid,True,none
0,109.0,153.0,184.0,199.0,203.0,204.0,0.0,66.0,109.0,127.0,130.0,134.0,0.0,1.0,6.0,7.0,7.0,7.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,50325.0,50325.0,50325.0,50325.0,50325.0,50325.0,14,50325.64319186745,109.2868229339695,UK,35,hybrid,True,moderna
0,107.0,166.0,203.0,224.0,225.0,228.0,0.0,65.0,113.0,129.0,133.0,135.0,0.0,1.0,7.0,8.0,9.0,11.0,0.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,2.0,2.0,2.0,44344.0,44344.0,44344.0,44344.0,44344.0,44344.0,14,44344.77096785893,107.23771250818609,UK,35,hybrid,True,pfizer
0,109.0,160.0,197.0,232.0,250.0,259.0,0.0,71.0,110.0,124.0,141.0,151.0,0.0,1.0,5.0,7.0,8.0,8.0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,47562.0,47562.0,47562.0,47562.0,47562.0,47562.0,14,47562.38147243196,109.68949367068575,UK,35,hybrid,True,moderna
0,98.0,231.0,532.0,1137.0,2460.0,5191.0,0.0,64.0,189.0,410.0,906.0,1960.0,0.0,0.0,9.0,25.0,42.0,91.0,0.0,0.0,1.0,6.0,8.0,18.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14,51347.421499653254,98.32729274960167,New Zealand,35,hybrid,True,none
0,95.0,232.0,647.0,1581.0,3573.0,7450.0,0.0,51.0,210.0,561.0,1337.0,2896.0,0.0,0.0,7.0,22.0,51.0,132.0,0.0,0.0,0.0,1.0,13.0,31.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14,41925.63045185834,95.67349311991921,New Zealand,35,hybrid,True,none
0,101.0,146.0,191.0,209.0,214.0,216.0,0.0,71.0,109.0,128.0,138.0,138.0,0.0,2.0,3.0,5.0,5.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42344.0,42344.0,42344.0,42344.0,42344.0,42344.0,14,42344.32420779684,101.09452393378365,UK,35,hybrid,True,pfizer
0,107.0,253.0,656.0,1568.0,3415.0,7026.0,0.0,60.0,211.0,542.0,1266.0,2706.0,0.0,0.0,9.0,25.0,67.0,140.0,0.0,0.0,3.0,4.0,14.0,38.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,51931.830624797505,107.99913475395452,New Zealand,35,hybrid,True,none
0,95.0,127.0,145.0,146.0,146.0,146.0,0.0,55.0,85.0,91.0,91.0,91.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50612.0,50612.0,50612.0,50612.0,50612.0,50612.0,14,50612.58697355246,95.40224770195329,UK,35,hybrid,True,pfizer
