,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_symptomatic_1,cum_symptomatic_2,cum_symptomatic_3,cum_symptomatic_4,cum_symptomatic_5,cum_symptomatic_6,cum_severe_1,cum_severe_2,cum_severe_3,cum_severe_4,cum_severe_5,cum_severe_6,cum_critical_1,cum_critical_2,cum_critical_3,cum_critical_4,cum_critical_5,cum_critical_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,cum_vaccinated_1,cum_vaccinated_2,cum_vaccinated_3,cum_vaccinated_4,cum_vaccinated_5,cum_vaccinated_6,quar_period,pop_size,pop_infected,location,n_days,pop_type,use_waning,interventions
0,92.0,160.0,284.0,422.0,528.0,592.0,0.0,61.0,131.0,215.0,296.0,347.0,0.0,2.0,6.0,10.0,21.0,28.0,0.0,0.0,2.0,4.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,48636.0,48636.0,48636.0,48636.0,48636.0,48636.0,14,48636.2353006894,92.69428586640866,Japan,35,hybrid,True,az
0,102.0,200.0,365.0,502.0,595.0,652.0,0.0,69.0,157.0,252.0,332.0,381.0,0.0,0.0,9.0,18.0,24.0,28.0,0.0,0.0,1.0,3.0,8.0,11.0,0.0,0.0,0.0,0.0,1.0,4.0,54259.0,54259.0,54259.0,54259.0,54259.0,54259.0,14,54259.14349127479,102.1013609850069,France,35,hybrid,True,az
0,132.0,192.0,233.0,245.0,252.0,256.0,0.0,82.0,132.0,156.0,161.0,164.0,0.0,1.0,14.0,16.0,19.0,19.0,0.0,0.0,5.0,8.0,10.0,10.0,0.0,0.0,0.0,1.0,2.0,3.0,44495.0,44495.0,44495.0,44495.0,44495.0,44495.0,14,44495.734569299886,132.56190473286256,France,35,hybrid,True,moderna
0,91.0,194.0,528.0,1339.0,2911.0,6239.0,0.0,46.0,152.0,449.0,1128.0,2457.0,0.0,0.0,7.0,21.0,50.0,135.0,0.0,0.0,1.0,5.0,10.0,33.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14,48040.739548033125,91.88670742824887,UK,35,hybrid,True,none
0,97.0,186.0,332.0,506.0,631.0,717.0,0.0,68.0,155.0,249.0,361.0,436.0,0.0,1.0,7.0,15.0,23.0,30.0,0.0,1.0,1.0,4.0,6.0,9.0,0.0,0.0,0.0,1.0,1.0,3.0,51934.0,51934.0,51934.0,51934.0,51934.0,51934.0,14,51934.323852532354,97.01200570163338,Japan,35,hybrid,True,az
0,108.0,256.0,694.0,1676.0,3677.0,7395.0,0.0,72.0,221.0,600.0,1414.0,2980.0,0.0,1.0,4.0,19.0,60.0,135.0,0.0,0.0,1.0,5.0,13.0,36.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14,49672.852558613646,108.97507665982103,New Zealand,35,hybrid,True,none
0,92.0,134.0,167.0,176.0,182.0,183.0,0.0,55.0,95.0,111.0,115.0,115.0,0.0,0.0,7.0,11.0,12.0,12.0,0.0,0.0,4.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,2.0,3.0,60154.0,60154.0,60154.0,60154.0,60154.0,60154.0,14,60154.84973595353,92.77677049738111,Japan,35,hybrid,True,pfizer
0,90.0,197.0,373.0,578.0,718.0,814.0,0.0,65.0,155.0,279.0,400.0,474.0,0.0,0.0,10.0,22.0,34.0,42.0,0.0,0.0,4.0,9.0,19.0,21.0,0.0,0.0,0.0,1.0,3.0,6.0,50689.0,50689.0,50689.0,50689.0,50689.0,50689.0,14,50689.110427593754,90.98776060682319,Japan,35,hybrid,True,az
0,87.0,176.0,334.0,505.0,647.0,730.0,0.0,69.0,149.0,248.0,352.0,438.0,0.0,1.0,6.0,16.0,23.0,33.0,0.0,0.0,3.0,7.0,10.0,14.0,0.0,0.0,0.0,0.0,3.0,4.0,54231.0,54231.0,54231.0,54231.0,54231.0,54231.0,14,54231.20907025668,87.45147565150052,France,35,hybrid,True,az
0,92.0,211.0,512.0,1249.0,2727.0,5727.0,0.0,56.0,184.0,458.0,1067.0,2323.0,0.0,2.0,12.0,24.0,48.0,126.0,0.0,0.0,5.0,10.0,21.0,42.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14,52739.19647030019,92.67613629202499,Japan,35,hybrid,True,none
0,90.0,122.0,150.0,157.0,159.0,161.0,0.0,55.0,85.0,97.0,101.0,102.0,0.0,0.0,5.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48656.0,48656.0,48656.0,48656.0,48656.0,48656.0,14,48656.03781617208,90.98581422928456,New Zealand,35,hybrid,True,moderna
0,105.0,136.0,167.0,173.0,177.0,181.0,0.0,56.0,89.0,103.0,106.0,106.0,0.0,0.0,4.0,7.0,8.0,8.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,49317.0,49317.0,49317.0,49317.0,49317.0,49317.0,14,49317.16277043501,105.99026232977091,New Zealand,35,hybrid,True,moderna
0,117.0,233.0,426.0,617.0,768.0,860.0,0.0,77.0,183.0,296.0,406.0,478.0,0.0,3.0,12.0,24.0,32.0,41.0,0.0,1.0,4.0,6.0,9.0,12.0,0.0,0.0,0.0,2.0,3.0,5.0,52888.0,52888.0,52888.0,52888.0,52888.0,52888.0,14,52888.737828917176,117.0122076841389,France,35,hybrid,True,az
0,106.0,149.0,179.0,201.0,211.0,211.0,0.0,61.0,100.0,114.0,124.0,128.0,0.0,2.0,6.0,6.0,8.0,8.0,0.0,0.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,54078.0,54078.0,54078.0,54078.0,54078.0,54078.0,14,54078.000246017575,106.46773576306265,France,35,hybrid,True,moderna
0,73.0,179.0,325.0,513.0,669.0,770.0,0.0,48.0,137.0,238.0,349.0,439.0,0.0,5.0,13.0,23.0,32.0,40.0,0.0,0.0,5.0,9.0,12.0,14.0,0.0,0.0,0.0,1.0,4.0,5.0,54122.0,54122.0,54122.0,54122.0,54122.0,54122.0,14,54122.62101493091,73.33991673709258,Japan,35,hybrid,True,az
0,97.0,237.0,725.0,1743.0,3740.0,7602.0,0.0,67.0,214.0,614.0,1446.0,3139.0,0.0,0.0,8.0,29.0,84.0,176.0,0.0,0.0,4.0,10.0,29.0,63.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,14,51035.144876670005,97.10807907633748,Japan,35,hybrid,True,none
0,93.0,209.0,451.0,732.0,949.0,1086.0,0.0,64.0,176.0,357.0,534.0,654.0,0.0,1.0,6.0,16.0,28.0,38.0,0.0,1.0,3.0,5.0,10.0,16.0,0.0,0.0,0.0,1.0,1.0,1.0,46693.0,46693.0,46693.0,46693.0,46693.0,46693.0,14,46693.109560206576,93.79975157679377,UK,35,hybrid,True,az
0,110.0,154.0,199.0,219.0,225.0,227.0,0.0,65.0,108.0,126.0,134.0,135.0,0.0,1.0,2.0,5.0,6.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,53535.0,53535.0,53535.0,53535.0,53535.0,53535.0,14,53535.357645770106,110.81191592723714,UK,35,hybrid,True,moderna
0,108.0,214.0,378.0,580.0,736.0,832.0,0.0,75.0,179.0,296.0,431.0,527.0,0.0,1.0,15.0,26.0,35.0,50.0,0.0,0.0,5.0,9.0,13.0,20.0,0.0,0.0,0.0,1.0,4.0,5.0,50051.0,50051.0,50051.0,50051.0,50051.0,50051.0,14,50051.1156995955,108.21526387204507,Japan,35,hybrid,True,az
0,98.0,137.0,174.0,192.0,199.0,201.0,0.0,56.0,83.0,103.0,116.0,117.0,0.0,2.0,4.0,5.0,8.0,8.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0,14,58538.68833064214,98.17236684965471,France,35,hybrid,True,pfizer
0,107.0,141.0,159.0,164.0,173.0,175.0,0.0,66.0,90.0,100.0,104.0,106.0,0.0,4.0,8.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50069.0,50069.0,50069.0,50069.0,50069.0,50069.0,14,50069.9538589573,107.39011317352589,France,35,hybrid,True,moderna
