,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_symptomatic_1,cum_symptomatic_2,cum_symptomatic_3,cum_symptomatic_4,cum_symptomatic_5,cum_symptomatic_6,cum_severe_1,cum_severe_2,cum_severe_3,cum_severe_4,cum_severe_5,cum_severe_6,cum_critical_1,cum_critical_2,cum_critical_3,cum_critical_4,cum_critical_5,cum_critical_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,cum_vaccinated_1,cum_vaccinated_2,cum_vaccinated_3,cum_vaccinated_4,cum_vaccinated_5,cum_vaccinated_6,quar_period,pop_size,pop_infected,location,n_days,pop_type,use_waning,interventions
0,92.0,219.0,580.0,1384.0,3042.0,6470.0,0.0,59.0,189.0,492.0,1146.0,2499.0,0.0,0.0,5.0,13.0,41.0,103.0,0.0,0.0,1.0,2.0,9.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,51308.054554677015,92.82048946053476,New Zealand,35,hybrid,True,none
0,100.0,131.0,151.0,156.0,156.0,156.0,0.0,60.0,86.0,93.0,96.0,96.0,0.0,2.0,8.0,12.0,14.0,15.0,0.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,2.0,2.0,2.0,59103.0,59103.0,59103.0,59103.0,59103.0,59103.0,14,59103.8566286185,100.36618731343891,Japan,35,hybrid,True,pfizer
0,106.0,202.0,356.0,560.0,731.0,885.0,0.0,67.0,155.0,264.0,388.0,488.0,0.0,2.0,6.0,15.0,24.0,33.0,0.0,0.0,3.0,7.0,11.0,11.0,0.0,0.0,0.0,1.0,2.0,3.0,57621.0,57621.0,57621.0,57621.0,57621.0,57621.0,14,57621.928308325034,106.0413285513996,Japan,35,hybrid,True,az
0,96.0,171.0,309.0,447.0,561.0,655.0,0.0,63.0,133.0,238.0,321.0,393.0,0.0,2.0,11.0,18.0,31.0,40.0,0.0,0.0,3.0,4.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,4.0,41572.0,41572.0,41572.0,41572.0,41572.0,41572.0,14,41572.75097134999,96.55658619073748,Japan,35,hybrid,True,az
0,93.0,139.0,179.0,197.0,205.0,210.0,0.0,60.0,101.0,117.0,128.0,132.0,0.0,1.0,7.0,18.0,20.0,20.0,0.0,0.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,52905.0,52905.0,52905.0,52905.0,52905.0,52905.0,14,52905.15989588298,93.10808814641995,Japan,35,hybrid,True,pfizer
0,109.0,208.0,396.0,607.0,759.0,863.0,0.0,71.0,160.0,287.0,415.0,501.0,0.0,1.0,12.0,24.0,40.0,52.0,0.0,1.0,5.0,10.0,16.0,21.0,0.0,0.0,1.0,2.0,4.0,6.0,49898.0,49898.0,49898.0,49898.0,49898.0,49898.0,14,49898.60748635575,109.19012929683211,Japan,35,hybrid,True,az
0,95.0,128.0,153.0,164.0,172.0,177.0,0.0,57.0,84.0,93.0,99.0,104.0,0.0,0.0,4.0,6.0,7.0,7.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,52876.0,52876.0,52876.0,52876.0,52876.0,52876.0,14,52876.6002316644,95.55208777068574,UK,35,hybrid,True,pfizer
0,117.0,234.0,548.0,1234.0,2572.0,5276.0,0.0,77.0,216.0,490.0,1054.0,2190.0,0.0,2.0,11.0,33.0,57.0,137.0,0.0,0.0,5.0,12.0,15.0,34.0,0.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,14,47339.700538269,117.98899018466918,Japan,35,hybrid,True,none
0,93.0,120.0,159.0,172.0,179.0,182.0,0.0,58.0,79.0,95.0,105.0,107.0,0.0,1.0,7.0,10.0,10.0,12.0,0.0,0.0,2.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,56082.0,56082.0,56082.0,56082.0,56082.0,56082.0,14,56082.24108902356,93.90517826803072,Japan,35,hybrid,True,moderna
0,94.0,168.0,328.0,505.0,641.0,730.0,0.0,60.0,136.0,248.0,355.0,436.0,0.0,1.0,7.0,15.0,23.0,34.0,0.0,0.0,1.0,3.0,5.0,11.0,0.0,0.0,0.0,0.0,1.0,2.0,53171.0,53171.0,53171.0,53171.0,53171.0,53171.0,14,53171.2671635391,94.92120332339812,Japan,35,hybrid,True,az
0,98.0,139.0,170.0,182.0,188.0,189.0,0.0,62.0,101.0,112.0,116.0,118.0,0.0,3.0,7.0,12.0,12.0,12.0,0.0,1.0,3.0,4.0,4.0,4.0,0.0,0.0,1.0,2.0,3.0,3.0,49575.0,49575.0,49575.0,49575.0,49575.0,49575.0,14,49575.946912427695,98.6404282433166,UK,35,hybrid,True,pfizer
