,id,day,wind_speed,temperature,bucket_volume,water_volume,height,diameter,surface_area
0,0.0,0.0,1.5,70.0,889.5985085317145,889.5985085317145,10.0,2.0,3.141592653589793
1,0.0,1.0,2.0,70.0,889.5985085317145,886.1661615027666,10.0,2.0,3.141592653589793
2,0.0,2.0,2.0,70.0,889.5985085317145,882.7338144738187,10.0,2.0,3.141592653589793
3,0.0,3.0,1.0,60.0,889.5985085317145,881.2970452199132,10.0,2.0,3.141592653589793
4,0.0,4.0,0.0,40.0,889.5985085317145,881.2970452199132,10.0,2.0,3.141592653589793
5,0.0,5.0,1.0,50.0,889.5985085317145,880.2784674079725,10.0,2.0,3.141592653589793
6,0.0,6.0,1.5,60.0,889.5985085317145,878.3072332875925,10.0,2.0,3.141592653589793
7,0.0,7.0,0.5,40.0,889.5985085317145,877.8925339466058,10.0,2.0,3.141592653589793
8,0.0,8.0,0.0,70.0,889.5985085317145,877.8925339466058,10.0,2.0,3.141592653589793
9,0.0,9.0,1.5,40.0,889.5985085317145,876.9155488836133,10.0,2.0,3.141592653589793
10,0.0,10.0,1.0,60.0,889.5985085317145,875.4787796297078,10.0,2.0,3.141592653589793
11,1.0,0.0,0.5,40.0,889.5985085317145,889.5985085317145,10.0,2.0,3.141592653589793
12,1.0,1.0,0.5,80.0,889.5985085317145,888.0059392016684,10.0,2.0,3.141592653589793
13,1.0,2.0,0.5,80.0,889.5985085317145,886.4133698716223,10.0,2.0,3.141592653589793
14,1.0,3.0,0.5,50.0,889.5985085317145,885.8201839776228,10.0,2.0,3.141592653589793
15,1.0,4.0,0.5,40.0,889.5985085317145,885.4054846366362,10.0,2.0,3.141592653589793
16,1.0,5.0,1.5,40.0,889.5985085317145,884.4284995736436,10.0,2.0,3.141592653589793
17,1.0,6.0,1.5,40.0,889.5985085317145,883.4515145106511,10.0,2.0,3.141592653589793
18,1.0,7.0,1.0,50.0,889.5985085317145,882.4329366987104,10.0,2.0,3.141592653589793
19,1.0,8.0,1.0,80.0,889.5985085317145,879.6982867348935,10.0,2.0,3.141592653589793
20,1.0,9.0,0.0,50.0,889.5985085317145,879.6982867348935,10.0,2.0,3.141592653589793
21,1.0,10.0,0.5,80.0,889.5985085317145,878.1057174048474,10.0,2.0,3.141592653589793
22,2.0,0.0,0.0,60.0,889.5985085317145,889.5985085317145,10.0,2.0,3.141592653589793
23,2.0,1.0,1.0,60.0,889.5985085317145,888.161739277809,10.0,2.0,3.141592653589793
24,2.0,2.0,0.5,80.0,889.5985085317145,886.5691699477629,10.0,2.0,3.141592653589793
25,2.0,3.0,0.0,50.0,889.5985085317145,886.5691699477629,10.0,2.0,3.141592653589793
26,2.0,4.0,0.0,70.0,889.5985085317145,886.5691699477629,10.0,2.0,3.141592653589793
27,2.0,5.0,0.5,50.0,889.5985085317145,885.9759840537635,10.0,2.0,3.141592653589793
28,2.0,6.0,1.5,70.0,889.5985085317145,883.2335324241942,10.0,2.0,3.141592653589793
29,2.0,7.0,1.0,40.0,889.5985085317145,882.5214393828248,10.0,2.0,3.141592653589793
30,2.0,8.0,0.5,50.0,889.5985085317145,881.9282534888254,10.0,2.0,3.141592653589793
31,2.0,9.0,0.0,70.0,889.5985085317145,881.9282534888254,10.0,2.0,3.141592653589793
32,2.0,10.0,0.5,40.0,889.5985085317145,881.5135541478387,10.0,2.0,3.141592653589793
33,3.0,0.0,0.0,80.0,889.5985085317145,889.5985085317145,10.0,2.0,3.141592653589793
34,3.0,1.0,1.0,50.0,889.5985085317145,888.5799307197738,10.0,2.0,3.141592653589793
35,3.0,2.0,1.0,40.0,889.5985085317145,887.8678376784044,10.0,2.0,3.141592653589793
36,3.0,3.0,2.0,80.0,889.5985085317145,883.1720857990266,10.0,2.0,3.141592653589793
37,3.0,4.0,1.0,70.0,889.5985085317145,881.1732008665111,10.0,2.0,3.141592653589793
38,3.0,5.0,2.0,80.0,889.5985085317145,876.4774489871334,10.0,2.0,3.141592653589793
39,3.0,6.0,1.0,60.0,889.5985085317145,875.0406797332279,10.0,2.0,3.141592653589793
40,3.0,7.0,0.5,60.0,889.5985085317145,874.2039530302134,10.0,2.0,3.141592653589793
41,3.0,8.0,0.0,50.0,889.5985085317145,874.2039530302134,10.0,2.0,3.141592653589793
42,3.0,9.0,0.0,60.0,889.5985085317145,874.2039530302134,10.0,2.0,3.141592653589793
43,3.0,10.0,1.5,40.0,889.5985085317145,873.2269679672208,10.0,2.0,3.141592653589793
44,4.0,0.0,0.0,40.0,889.5985085317145,889.5985085317145,10.0,2.0,3.141592653589793
45,4.0,1.0,0.5,80.0,889.5985085317145,888.0059392016684,10.0,2.0,3.141592653589793
46,4.0,2.0,1.0,60.0,889.5985085317145,886.5691699477629,10.0,2.0,3.141592653589793
47,4.0,3.0,2.0,70.0,889.5985085317145,883.136822918815,10.0,2.0,3.141592653589793
48,4.0,4.0,2.0,40.0,889.5985085317145,881.9140659731198,10.0,2.0,3.141592653589793
49,4.0,5.0,0.0,60.0,889.5985085317145,881.9140659731198,10.0,2.0,3.141592653589793
50,4.0,6.0,1.5,80.0,889.5985085317145,878.1621515294338,10.0,2.0,3.141592653589793
51,4.0,7.0,1.0,60.0,889.5985085317145,876.7253822755283,10.0,2.0,3.141592653589793
52,4.0,8.0,0.0,60.0,889.5985085317145,876.7253822755283,10.0,2.0,3.141592653589793
53,4.0,9.0,0.0,50.0,889.5985085317145,876.7253822755283,10.0,2.0,3.141592653589793
54,4.0,10.0,0.5,80.0,889.5985085317145,875.1328129454822,10.0,2.0,3.141592653589793
55,5.0,0.0,0.0,40.0,889.5985085317145,889.5985085317145,10.0,2.0,3.141592653589793
56,5.0,1.0,0.0,40.0,889.5985085317145,889.5985085317145,10.0,2.0,3.141592653589793
57,5.0,2.0,0.0,70.0,889.5985085317145,889.5985085317145,10.0,2.0,3.141592653589793
58,5.0,3.0,1.5,40.0,889.5985085317145,888.621523468722,10.0,2.0,3.141592653589793
59,5.0,4.0,0.5,50.0,889.5985085317145,888.0283375747225,10.0,2.0,3.141592653589793
60,5.0,5.0,1.0,40.0,889.5985085317145,887.3162445333531,10.0,2.0,3.141592653589793
61,5.0,6.0,0.5,40.0,889.5985085317145,886.9015451923665,10.0,2.0,3.141592653589793
62,5.0,7.0,1.0,60.0,889.5985085317145,885.464775938461,10.0,2.0,3.141592653589793
63,5.0,8.0,0.5,80.0,889.5985085317145,883.8722066084149,10.0,2.0,3.141592653589793
64,5.0,9.0,1.5,60.0,889.5985085317145,881.9009724880349,10.0,2.0,3.141592653589793
65,5.0,10.0,0.5,60.0,889.5985085317145,881.0642457850204,10.0,2.0,3.141592653589793
66,6.0,0.0,0.5,80.0,889.5985085317145,889.5985085317145,10.0,2.0,3.141592653589793
67,6.0,1.0,0.5,50.0,889.5985085317145,889.005322637715,10.0,2.0,3.141592653589793
68,6.0,2.0,2.0,80.0,889.5985085317145,884.3095707583373,10.0,2.0,3.141592653589793
69,6.0,3.0,0.5,50.0,889.5985085317145,883.7163848643378,10.0,2.0,3.141592653589793
70,6.0,4.0,0.5,80.0,889.5985085317145,882.1238155342917,10.0,2.0,3.141592653589793
71,6.0,5.0,0.5,40.0,889.5985085317145,881.709116193305,10.0,2.0,3.141592653589793
72,6.0,6.0,2.0,60.0,889.5985085317145,879.2419953502257,10.0,2.0,3.141592653589793
73,6.0,7.0,2.0,40.0,889.5985085317145,878.0192384045305,10.0,2.0,3.141592653589793
74,6.0,8.0,2.0,40.0,889.5985085317145,876.7964814588353,10.0,2.0,3.141592653589793
75,6.0,9.0,0.0,80.0,889.5985085317145,876.7964814588353,10.0,2.0,3.141592653589793
76,6.0,10.0,0.0,60.0,889.5985085317145,876.7964814588353,10.0,2.0,3.141592653589793
77,7.0,0.0,1.5,50.0,889.5985085317145,889.5985085317145,10.0,2.0,3.141592653589793
78,7.0,1.0,1.5,80.0,889.5985085317145,885.8465940880285,10.0,2.0,3.141592653589793
79,7.0,2.0,0.0,80.0,889.5985085317145,885.8465940880285,10.0,2.0,3.141592653589793
80,7.0,3.0,2.0,70.0,889.5985085317145,882.4142470590806,10.0,2.0,3.141592653589793
81,7.0,4.0,1.5,50.0,889.5985085317145,881.0167677270988,10.0,2.0,3.141592653589793
82,7.0,5.0,1.5,60.0,889.5985085317145,879.0455336067188,10.0,2.0,3.141592653589793
83,7.0,6.0,0.5,80.0,889.5985085317145,877.4529642766727,10.0,2.0,3.141592653589793
84,7.0,7.0,0.5,80.0,889.5985085317145,875.8603949466266,10.0,2.0,3.141592653589793
85,7.0,8.0,0.5,70.0,889.5985085317145,874.6963107384333,10.0,2.0,3.141592653589793
86,7.0,9.0,0.5,40.0,889.5985085317145,874.2816113974467,10.0,2.0,3.141592653589793
87,7.0,10.0,2.0,80.0,889.5985085317145,869.5858595180689,10.0,2.0,3.141592653589793
