,Unnamed: 0,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_symptomatic_1,cum_symptomatic_2,cum_symptomatic_3,cum_symptomatic_4,cum_symptomatic_5,cum_symptomatic_6,cum_severe_1,cum_severe_2,cum_severe_3,cum_severe_4,cum_severe_5,cum_severe_6,cum_critical_1,cum_critical_2,cum_critical_3,cum_critical_4,cum_critical_5,cum_critical_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,cum_vaccinated_1,cum_vaccinated_2,cum_vaccinated_3,cum_vaccinated_4,cum_vaccinated_5,cum_vaccinated_6,quar_period,pop_size,pop_infected,location,interventions,n_days,pop_type,use_waning
422,2,104.0,183.0,366.0,545.0,699.0,798.0,0.0,63.0,150.0,258.0,364.0,455.0,0.0,0.0,7.0,14.0,28.0,33.0,0.0,0.0,4.0,4.0,12.0,13.0,0.0,0.0,0.0,1.0,2.0,5.0,50118.0,50118.0,50118.0,50118.0,50118.0,50118.0,14,50118.11080239527,104.58361811850742,Japan,az,35,hybrid,True
333,3,95.0,126.0,159.0,179.0,184.0,184.0,0.0,60.0,89.0,107.0,118.0,118.0,0.0,0.0,5.0,10.0,11.0,12.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,48570.0,48570.0,48570.0,48570.0,48570.0,48570.0,14,48570.25146506496,95.2205948554948,UK,pfizer,35,hybrid,True
471,21,90.0,168.0,301.0,456.0,569.0,630.0,0.0,46.0,128.0,233.0,319.0,393.0,0.0,3.0,6.0,15.0,23.0,29.0,0.0,2.0,2.0,5.0,5.0,6.0,0.0,0.0,0.0,1.0,2.0,3.0,39731.0,49719.0,49719.0,49719.0,49719.0,49719.0,14,49719.446407232535,90.6910120650291,France,az,35,hybrid,True
1208,8,100.0,139.0,180.0,196.0,209.0,212.0,0.0,63.0,98.0,118.0,127.0,133.0,0.0,0.0,4.0,7.0,8.0,8.0,0.0,0.0,1.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,40562.0,50726.0,50726.0,50726.0,50726.0,50726.0,14,50726.59077744226,100.58683593803556,France,moderna,35,hybrid,True
90,0,103.0,171.0,252.0,293.0,307.0,309.0,0.0,68.0,129.0,161.0,178.0,183.0,0.0,1.0,2.0,5.0,9.0,10.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,24954.0,49813.0,50019.0,50022.0,50022.0,50022.0,14,50022.07495389883,103.71610485739647,China,moderna,35,hybrid,True
1044,24,102.0,156.0,276.0,421.0,561.0,696.0,0.0,69.0,133.0,215.0,320.0,401.0,0.0,0.0,3.0,11.0,24.0,34.0,0.0,0.0,1.0,4.0,12.0,14.0,0.0,0.0,0.0,0.0,2.0,3.0,50184.0,50184.0,50184.0,50184.0,50184.0,50184.0,14,50184.85649921006,102.993990282074,Japan,az,35,hybrid,True
162,12,96.0,174.0,294.0,398.0,476.0,542.0,0.0,66.0,140.0,216.0,267.0,323.0,0.0,2.0,11.0,17.0,26.0,28.0,0.0,1.0,6.0,8.0,12.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,49518.0,49518.0,49518.0,49518.0,49518.0,49518.0,14,49518.679714966514,96.72779348304503,Japan,az,35,hybrid,True
1473,3,104.0,145.0,188.0,204.0,211.0,212.0,0.0,60.0,103.0,124.0,131.0,133.0,0.0,0.0,6.0,8.0,10.0,10.0,0.0,0.0,2.0,3.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,50188.0,50188.0,50188.0,50188.0,50188.0,50188.0,14,50188.82580515166,104.88307073450729,Japan,moderna,35,hybrid,True
320,20,104.0,215.0,456.0,745.0,954.0,1141.0,0.0,72.0,182.0,347.0,510.0,643.0,0.0,1.0,7.0,20.0,33.0,52.0,0.0,0.0,1.0,6.0,12.0,19.0,0.0,0.0,0.0,1.0,2.0,6.0,49631.0,49631.0,49631.0,49631.0,49631.0,49631.0,14,49631.01418884,104.61927122139492,Japan,az,35,hybrid,True
534,24,92.0,133.0,173.0,181.0,181.0,181.0,0.0,53.0,92.0,115.0,122.0,122.0,0.0,4.0,8.0,8.0,9.0,11.0,0.0,0.0,3.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,49379.0,49379.0,49379.0,49379.0,49379.0,49379.0,14,49379.55715033923,92.98151663291794,Japan,pfizer,35,hybrid,True
