,Unnamed: 0,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_symptomatic_1,cum_symptomatic_2,cum_symptomatic_3,cum_symptomatic_4,cum_symptomatic_5,cum_symptomatic_6,cum_severe_1,cum_severe_2,cum_severe_3,cum_severe_4,cum_severe_5,cum_severe_6,cum_critical_1,cum_critical_2,cum_critical_3,cum_critical_4,cum_critical_5,cum_critical_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,cum_vaccinated_1,cum_vaccinated_2,cum_vaccinated_3,cum_vaccinated_4,cum_vaccinated_5,cum_vaccinated_6,quar_period,pop_size,pop_infected,location,interventions,n_days,pop_type,use_waning
866,26,91.0,117.0,153.0,168.0,172.0,173.0,0.0,53.0,78.0,94.0,101.0,103.0,0.0,1.0,2.0,7.0,7.0,8.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,25060.0,49922.0,50126.0,50128.0,50128.0,50128.0,14,50128.509455645,91.6238101923775,China,moderna,35,hybrid,True
1243,13,99.0,212.0,567.0,1288.0,2828.0,5862.0,0.0,63.0,176.0,476.0,1103.0,2359.0,0.0,0.0,10.0,26.0,65.0,147.0,0.0,0.0,4.0,10.0,24.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,14,51234.41111932517,99.79926650480289,Japan,none,35,hybrid,True
103,13,103.0,150.0,189.0,211.0,228.0,230.0,0.0,59.0,97.0,119.0,133.0,138.0,0.0,0.0,5.0,6.0,8.0,10.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,24865.0,49850.0,50018.0,50022.0,50022.0,50022.0,14,50022.07495389883,103.71610485739647,China,moderna,35,hybrid,True
577,7,102.0,139.0,185.0,197.0,203.0,204.0,0.0,59.0,93.0,115.0,122.0,124.0,0.0,0.0,5.0,7.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48298.0,48298.0,48298.0,48298.0,48298.0,48298.0,14,48298.11445016439,102.55462969194696,UK,moderna,35,hybrid,True
19,19,105.0,135.0,181.0,195.0,206.0,209.0,0.0,63.0,94.0,116.0,122.0,123.0,0.0,1.0,5.0,6.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24367.0,48529.0,48738.0,48739.0,48739.0,48739.0,14,48739.63476718004,105.75946387602237,China,moderna,35,hybrid,True
1347,27,105.0,200.0,384.0,603.0,789.0,897.0,0.0,66.0,150.0,264.0,391.0,502.0,0.0,0.0,10.0,19.0,36.0,46.0,0.0,0.0,2.0,3.0,9.0,14.0,0.0,0.0,0.0,0.0,1.0,4.0,40132.0,50100.0,50100.0,50100.0,50100.0,50100.0,14,50100.278086344006,105.0807349103839,France,az,35,hybrid,True
1084,4,95.0,135.0,173.0,188.0,192.0,193.0,0.0,59.0,102.0,115.0,123.0,123.0,0.0,0.0,8.0,11.0,12.0,12.0,0.0,0.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,50201.0,50201.0,50201.0,50201.0,50201.0,50201.0,14,50201.95375841179,95.3929475480306,Japan,pfizer,35,hybrid,True
948,18,96.0,168.0,317.0,502.0,663.0,775.0,0.0,57.0,122.0,217.0,338.0,429.0,0.0,0.0,8.0,17.0,25.0,33.0,0.0,0.0,3.0,5.0,8.0,12.0,0.0,0.0,0.0,2.0,4.0,4.0,40386.0,50442.0,50442.0,50442.0,50442.0,50442.0,14,50442.4308296262,96.99902118460956,France,az,35,hybrid,True
902,2,107.0,139.0,187.0,203.0,205.0,205.0,0.0,68.0,104.0,122.0,126.0,127.0,0.0,2.0,9.0,17.0,17.0,17.0,0.0,0.0,3.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,51090.0,51090.0,51090.0,51090.0,51090.0,51090.0,14,51090.54380397731,107.31230456401526,Japan,pfizer,35,hybrid,True
444,24,104.0,197.0,365.0,563.0,706.0,781.0,0.0,67.0,149.0,278.0,395.0,462.0,0.0,3.0,15.0,25.0,36.0,47.0,0.0,1.0,1.0,4.0,6.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,50118.0,50118.0,50118.0,50118.0,50118.0,50118.0,14,50118.11080239527,104.58361811850742,Japan,az,35,hybrid,True
