,Unnamed: 0,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_symptomatic_1,cum_symptomatic_2,cum_symptomatic_3,cum_symptomatic_4,cum_symptomatic_5,cum_symptomatic_6,cum_severe_1,cum_severe_2,cum_severe_3,cum_severe_4,cum_severe_5,cum_severe_6,cum_critical_1,cum_critical_2,cum_critical_3,cum_critical_4,cum_critical_5,cum_critical_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,cum_vaccinated_1,cum_vaccinated_2,cum_vaccinated_3,cum_vaccinated_4,cum_vaccinated_5,cum_vaccinated_6,quar_period,pop_size,pop_infected,location,interventions,n_days,pop_type,use_waning
731,11,88.0,137.0,176.0,195.0,203.0,204.0,0.0,50.0,98.0,111.0,121.0,124.0,0.0,1.0,4.0,7.0,8.0,9.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25684.0,50904.0,51087.0,51088.0,51088.0,51088.0,14,51088.166094093074,88.94027363346837,China,pfizer,35,hybrid,True
1164,24,97.0,124.0,150.0,158.0,160.0,162.0,0.0,69.0,92.0,102.0,108.0,108.0,0.0,0.0,9.0,12.0,12.0,12.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,50136.0,50136.0,50136.0,50136.0,50136.0,50136.0,14,50136.38244329362,97.54370444253274,Japan,pfizer,35,hybrid,True
760,10,98.0,136.0,166.0,169.0,170.0,172.0,0.0,57.0,101.0,114.0,117.0,117.0,0.0,1.0,6.0,10.0,11.0,11.0,0.0,1.0,3.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,39678.0,49640.0,49640.0,49640.0,49640.0,49640.0,14,49640.443087842286,98.3422736662664,France,pfizer,35,hybrid,True
627,27,101.0,224.0,599.0,1466.0,3221.0,6527.0,0.0,65.0,192.0,491.0,1227.0,2612.0,0.0,0.0,6.0,23.0,60.0,143.0,0.0,0.0,0.0,6.0,15.0,40.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14,49997.9067815852,101.0044121822941,France,none,35,hybrid,True
274,4,106.0,261.0,685.0,1624.0,3766.0,8256.0,0.0,65.0,226.0,561.0,1351.0,3094.0,0.0,2.0,7.0,21.0,56.0,131.0,0.0,0.0,1.0,4.0,8.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,49803.032288455855,106.88648265566805,China,none,35,hybrid,True
133,13,98.0,226.0,651.0,1645.0,4053.0,8992.0,0.0,62.0,190.0,538.0,1354.0,3273.0,0.0,0.0,9.0,25.0,59.0,131.0,0.0,0.0,1.0,4.0,13.0,29.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,14,48877.15583154997,98.24847085902476,China,none,35,hybrid,True
285,15,106.0,269.0,850.0,2188.0,5120.0,10844.0,0.0,69.0,261.0,718.0,1802.0,4177.0,0.0,0.0,4.0,19.0,59.0,145.0,0.0,0.0,1.0,3.0,10.0,25.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14,49803.032288455855,106.88648265566805,China,none,35,hybrid,True
1252,22,99.0,272.0,748.0,1735.0,3656.0,7407.0,0.0,65.0,270.0,686.0,1505.0,3157.0,0.0,1.0,16.0,41.0,87.0,194.0,0.0,0.0,3.0,13.0,27.0,57.0,0.0,0.0,0.0,2.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,14,51234.41111932517,99.79926650480289,Japan,none,35,hybrid,True
1304,14,104.0,217.0,516.0,1144.0,2429.0,5008.0,0.0,68.0,183.0,430.0,942.0,2054.0,0.0,0.0,11.0,27.0,55.0,124.0,0.0,0.0,5.0,11.0,24.0,44.0,0.0,0.0,0.0,1.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,14,49755.53491663295,104.91218343602756,Japan,none,35,hybrid,True
236,26,99.0,146.0,174.0,185.0,189.0,192.0,0.0,54.0,95.0,107.0,111.0,114.0,0.0,1.0,6.0,10.0,10.0,11.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,49309.0,49309.0,49309.0,49309.0,49309.0,49309.0,14,49309.362333392106,99.5424935567896,UK,moderna,35,hybrid,True
