,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,quar_period,n_days,use_waning,pop_type,pop_size,pop_infected,location,interventions,imbalance
1,100.0,173.0,243.0,268.0,279.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,True,hybrid,50000,100,3,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
2,100.0,166.0,243.0,267.0,276.0,278.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,True,hybrid,50000,100,3,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
3,100.0,139.0,194.0,218.0,229.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,True,hybrid,50000,100,3,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
4,100.0,166.0,235.0,281.0,296.0,297.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,True,hybrid,50000,100,3,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
0,100.0,204.0,559.0,1384.0,3128.0,6598.0,0.0,0.0,0.0,1.0,2.0,7.0,14,35,True,hybrid,50000,100,Japan,,
1,100.0,245.0,559.0,1234.0,2639.0,5182.0,0.0,0.0,0.0,0.0,1.0,4.0,14,35,True,hybrid,50000,100,Japan,,
2,100.0,205.0,522.0,1204.0,2595.0,5356.0,0.0,0.0,0.0,1.0,4.0,4.0,14,35,True,hybrid,50000,100,Japan,,
3,100.0,183.0,428.0,1000.0,2405.0,5305.0,0.0,0.0,0.0,0.0,1.0,3.0,14,35,True,hybrid,50000,100,Japan,,
4,100.0,234.0,509.0,1105.0,2493.0,5330.0,0.0,0.0,0.0,0.0,2.0,5.0,14,35,True,hybrid,50000,100,Japan,,
0,100.0,160.0,248.0,298.0,315.0,321.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,True,hybrid,50000,100,0,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
1,100.0,161.0,228.0,253.0,266.0,269.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,True,hybrid,50000,100,0,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
2,100.0,160.0,240.0,287.0,302.0,303.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,True,hybrid,50000,100,0,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
3,100.0,146.0,209.0,232.0,245.0,246.0,0.0,0.0,0.0,2.0,2.0,2.0,14,35,True,hybrid,50000,100,0,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
4,100.0,173.0,238.0,265.0,275.0,279.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,True,hybrid,50000,100,0,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
