,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,quar_period,n_days,use_waning,pop_type,pop_size,pop_infected,location,interventions,imbalance,alpha
36,100.0,210.0,544.0,1388.0,3230.0,6735.0,0.0,0.0,0.0,1.0,1.0,5.0,14,35,True,hybrid,50000,100,New Zealand,none,0.05,10.0
37,100.0,150.0,205.0,244.0,251.0,251.0,0.0,0.0,0.0,0.0,3.0,4.0,14,35,True,hybrid,50000,100,France,pfizer,0.05,10.0
38,100.0,216.0,509.0,1056.0,2084.0,4060.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,True,hybrid,50000,100,France,none,0.05,10.0
39,100.0,152.0,224.0,261.0,280.0,281.0,0.0,0.0,0.0,1.0,1.0,1.0,14,35,True,hybrid,50000,100,Japan,pfizer,0.05,10.0
40,100.0,216.0,509.0,1056.0,2084.0,4060.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,True,hybrid,50000,100,France,none,0.05,10.0
41,100.0,150.0,205.0,244.0,251.0,251.0,0.0,0.0,0.0,0.0,3.0,4.0,14,35,True,hybrid,50000,100,France,pfizer,0.05,10.0
42,100.0,204.0,559.0,1384.0,3128.0,6598.0,0.0,0.0,0.0,1.0,2.0,7.0,14,35,True,hybrid,50000,100,Japan,none,0.05,10.0
43,100.0,152.0,224.0,261.0,280.0,281.0,0.0,0.0,0.0,1.0,1.0,1.0,14,35,True,hybrid,50000,100,Japan,pfizer,0.05,10.0
44,100.0,216.0,509.0,1056.0,2084.0,4060.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,True,hybrid,50000,100,France,none,0.05,10.0
45,100.0,150.0,205.0,244.0,251.0,251.0,0.0,0.0,0.0,0.0,3.0,4.0,14,35,True,hybrid,50000,100,France,pfizer,0.05,10.0
46,100.0,210.0,544.0,1388.0,3230.0,6735.0,0.0,0.0,0.0,1.0,1.0,5.0,14,35,True,hybrid,50000,100,New Zealand,none,0.05,10.0
47,100.0,169.0,268.0,318.0,330.0,334.0,0.0,0.0,0.0,1.0,1.0,3.0,14,35,True,hybrid,50000,100,New Zealand,pfizer,0.05,10.0
