,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,quar_period,n_days,pop_type,use_waning,pop_size,pop_infected,interventions,location,rand_seed,avg_age,contacts_h,contacts_s,contacts_w,contacts_c,id,imbalance,alpha
0,104.0,277.0,760.0,1865.0,4019.0,7992.0,0.0,0.0,0.0,0.0,4.0,9.0,14,35,hybrid,True,57464.71232471274,104.64545323762172,none,Japan,9695,47.74310302734375,1.33,20,16,20,ic0_a10,0.30648410354614175,10.0
1,104.0,184.0,266.0,299.0,309.0,311.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,True,57464.71232471274,104.64545323762172,pfizer,Japan,9695,47.74310302734375,1.33,20,16,20,ic0_a10,0.30648410354614175,10.0
2,104.0,299.0,839.0,2134.0,4897.0,10482.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,True,57464.71232471274,104.64545323762172,none,Niger,9695,20.680692672729492,4.916,20,16,20,ic0_a10,0.30648410354614175,10.0
3,104.0,224.0,373.0,466.0,505.0,519.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,57464.71232471274,104.64545323762172,pfizer,Niger,9695,20.680692672729492,4.916,20,16,20,ic0_a10,0.30648410354614175,10.0
4,104.0,277.0,760.0,1865.0,4019.0,7992.0,0.0,0.0,0.0,0.0,4.0,9.0,14,35,hybrid,True,57464.71232471274,104.64545323762172,none,Japan,9695,47.74310302734375,1.33,20,16,20,ic0_a10,0.30648410354614175,10.0
5,104.0,224.0,373.0,466.0,505.0,519.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,57464.71232471274,104.64545323762172,pfizer,Niger,9695,20.680692672729492,4.916,20,16,20,ic0_a10,0.30648410354614175,10.0
6,104.0,299.0,839.0,2134.0,4897.0,10482.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,True,57464.71232471274,104.64545323762172,none,Niger,9695,20.680692672729492,4.916,20,16,20,ic0_a10,0.30648410354614175,10.0
7,104.0,224.0,373.0,466.0,505.0,519.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,57464.71232471274,104.64545323762172,pfizer,Niger,9695,20.680692672729492,4.916,20,16,20,ic0_a10,0.30648410354614175,10.0
8,104.0,299.0,839.0,2134.0,4897.0,10482.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,True,57464.71232471274,104.64545323762172,none,Niger,9695,20.680692672729492,4.916,20,16,20,ic0_a10,0.30648410354614175,10.0
9,104.0,184.0,266.0,299.0,309.0,311.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,True,57464.71232471274,104.64545323762172,pfizer,Japan,9695,47.74310302734375,1.33,20,16,20,ic0_a10,0.30648410354614175,10.0
10,104.0,277.0,760.0,1865.0,4019.0,7992.0,0.0,0.0,0.0,0.0,4.0,9.0,14,35,hybrid,True,57464.71232471274,104.64545323762172,none,Japan,9695,47.74310302734375,1.33,20,16,20,ic0_a10,0.30648410354614175,10.0
