,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,quar_period,n_days,pop_type,use_waning,pop_size,pop_infected,rand_seed,location,interventions,avg_age,contacts_h,contacts_s,contacts_w,contacts_c,age_dist,id,imbalance
15,87.0,194.0,500.0,1391.0,3266.0,7345.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,control,34.856937408447266,2.0,20,16,20,"{'0-9': 8102, '10-19': 9021, '20-29': 8254, '30-39': 8864, '40-49': 8092, '50-59': 7287, '60-69': 4710, '70-79': 2212, '80+': 876}",ic0_ti1,0.0
16,87.0,218.0,622.0,1522.0,3426.0,7256.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,control,34.978553771972656,2.0,20,16,20,"{'0-9': 8102, '10-19': 9021, '20-29': 8254, '30-39': 8864, '40-49': 8092, '50-59': 7287, '60-69': 4710, '70-79': 2212, '80+': 876}",ic0_ti1,0.0
17,87.0,244.0,778.0,1915.0,4496.0,9689.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,control,34.880271911621094,2.0,20,16,20,"{'0-9': 8102, '10-19': 9021, '20-29': 8254, '30-39': 8864, '40-49': 8092, '50-59': 7287, '60-69': 4710, '70-79': 2212, '80+': 876}",ic0_ti1,0.0
18,87.0,237.0,626.0,1526.0,3469.0,7519.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,control,34.951786041259766,2.0,20,16,20,"{'0-9': 8102, '10-19': 9021, '20-29': 8254, '30-39': 8864, '40-49': 8092, '50-59': 7287, '60-69': 4710, '70-79': 2212, '80+': 876}",ic0_ti1,0.0
19,87.0,164.0,370.0,805.0,1786.0,3985.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,control,35.02445983886719,2.0,20,16,20,"{'0-9': 8102, '10-19': 9021, '20-29': 8254, '30-39': 8864, '40-49': 8092, '50-59': 7287, '60-69': 4710, '70-79': 2212, '80+': 876}",ic0_ti1,0.0
0,87.0,153.0,242.0,307.0,314.0,319.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,treatment,34.921173095703125,2.0,20,16,20,"{'0-9': 8102, '10-19': 9021, '20-29': 8254, '30-39': 8864, '40-49': 8092, '50-59': 7287, '60-69': 4710, '70-79': 2212, '80+': 876}",ic0_ti2,0.20833244323730327
1,87.0,202.0,605.0,1475.0,3422.0,7283.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,control,34.921173095703125,2.0,20,16,20,"{'0-9': 8102, '10-19': 9021, '20-29': 8254, '30-39': 8864, '40-49': 8092, '50-59': 7287, '60-69': 4710, '70-79': 2212, '80+': 876}",ic0_ti2,0.20833244323730327
2,87.0,153.0,242.0,307.0,314.0,319.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,treatment,34.921173095703125,2.0,20,16,20,"{'0-9': 8102, '10-19': 9021, '20-29': 8254, '30-39': 8864, '40-49': 8092, '50-59': 7287, '60-69': 4710, '70-79': 2212, '80+': 876}",ic0_ti2,0.20833244323730327
3,87.0,151.0,219.0,253.0,264.0,269.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,treatment,34.97188949584961,2.0,20,16,20,"{'0-9': 8102, '10-19': 9021, '20-29': 8254, '30-39': 8864, '40-49': 8092, '50-59': 7287, '60-69': 4710, '70-79': 2212, '80+': 876}",ic0_ti2,0.20833244323730327
4,87.0,148.0,214.0,240.0,248.0,252.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,treatment,35.06853485107422,2.0,20,16,20,"{'0-9': 8102, '10-19': 9021, '20-29': 8254, '30-39': 8864, '40-49': 8092, '50-59': 7287, '60-69': 4710, '70-79': 2212, '80+': 876}",ic0_ti2,0.20833244323730327
