,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,quar_period,n_days,pop_type,use_waning,pop_size,pop_infected,rand_seed,interventions,location,avg_age,contacts_h,contacts_s,contacts_w,contacts_c,id,imbalance,alpha
0,97.0,256.0,719.0,1799.0,4072.0,8788.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,True,47509.466773178145,97.66557046280488,6832,control,Niger,20.64021110534668,4.916,20,16,20,ic0_a1,20.272200107574463,1.0
1,97.0,221.0,360.0,454.0,499.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,47509.466773178145,97.66557046280488,6832,treatment,Niger,20.64021110534668,4.916,20,16,20,ic0_a1,20.272200107574463,1.0
2,97.0,235.0,607.0,1559.0,3541.0,7323.0,0.0,0.0,0.0,0.0,3.0,5.0,14,35,hybrid,True,47509.466773178145,97.66557046280488,6832,control,Japan,47.6698112487793,1.33,20,16,20,ic0_a1,20.272200107574463,1.0
3,97.0,158.0,204.0,229.0,240.0,246.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,hybrid,True,47509.466773178145,97.66557046280488,6832,treatment,Japan,47.6698112487793,1.33,20,16,20,ic0_a1,20.272200107574463,1.0
4,97.0,256.0,719.0,1799.0,4072.0,8788.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,True,47509.466773178145,97.66557046280488,6832,control,Niger,20.64021110534668,4.916,20,16,20,ic0_a1,20.272200107574463,1.0
5,97.0,158.0,204.0,229.0,240.0,246.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,hybrid,True,47509.466773178145,97.66557046280488,6832,treatment,Japan,47.6698112487793,1.33,20,16,20,ic0_a1,20.272200107574463,1.0
6,97.0,256.0,719.0,1799.0,4072.0,8788.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,True,47509.466773178145,97.66557046280488,6832,control,Niger,20.64021110534668,4.916,20,16,20,ic0_a1,20.272200107574463,1.0
7,97.0,158.0,204.0,229.0,240.0,246.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,hybrid,True,47509.466773178145,97.66557046280488,6832,treatment,Japan,47.6698112487793,1.33,20,16,20,ic0_a1,20.272200107574463,1.0
8,97.0,256.0,719.0,1799.0,4072.0,8788.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,True,47509.466773178145,97.66557046280488,6832,control,Niger,20.64021110534668,4.916,20,16,20,ic0_a1,20.272200107574463,1.0
9,97.0,158.0,204.0,229.0,240.0,246.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,hybrid,True,47509.466773178145,97.66557046280488,6832,treatment,Japan,47.6698112487793,1.33,20,16,20,ic0_a1,20.272200107574463,1.0
10,97.0,256.0,719.0,1799.0,4072.0,8788.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,True,47509.466773178145,97.66557046280488,6832,control,Niger,20.64021110534668,4.916,20,16,20,ic0_a1,20.272200107574463,1.0
