,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,quar_period,n_days,pop_type,pop_size,pop_infected,location,rand_seed
12,100.0,211.0,496.0,1078.0,2291.0,4825.0,0.0,0.0,0.0,1.0,1.0,4.0,14,35,hybrid,50000,100,Japan,1
13,100.0,226.0,608.0,1330.0,2946.0,6124.0,0.0,0.0,1.0,2.0,3.0,8.0,14,35,hybrid,50000,100,Japan,1
14,100.0,211.0,489.0,1101.0,2548.0,5241.0,0.0,0.0,0.0,0.0,1.0,4.0,14,35,hybrid,50000,100,Japan,1
15,100.0,209.0,575.0,1419.0,3335.0,7057.0,0.0,0.0,1.0,2.0,2.0,6.0,14,35,hybrid,50000,100,Japan,1
16,100.0,243.0,621.0,1484.0,3246.0,6816.0,0.0,0.0,0.0,1.0,3.0,6.0,14,35,hybrid,50000,100,Japan,1
17,100.0,230.0,618.0,1445.0,3145.0,6429.0,0.0,0.0,0.0,2.0,3.0,11.0,14,35,hybrid,50000,100,Japan,1
18,100.0,207.0,482.0,1045.0,2313.0,4817.0,0.0,0.0,0.0,2.0,3.0,3.0,14,35,hybrid,50000,100,Japan,1
19,100.0,189.0,394.0,814.0,1738.0,3669.0,0.0,0.0,0.0,0.0,0.0,3.0,14,35,hybrid,50000,100,Japan,1
20,100.0,220.0,552.0,1280.0,2908.0,6013.0,0.0,0.0,0.0,0.0,0.0,3.0,14,35,hybrid,50000,100,Japan,1
21,100.0,235.0,599.0,1334.0,2981.0,6248.0,0.0,0.0,0.0,0.0,0.0,4.0,14,35,hybrid,50000,100,Japan,1
22,100.0,229.0,598.0,1303.0,2822.0,6053.0,0.0,0.0,0.0,0.0,0.0,7.0,14,35,hybrid,50000,100,Japan,1
23,100.0,316.0,960.0,2317.0,5056.0,9835.0,0.0,0.0,0.0,0.0,4.0,13.0,14,35,hybrid,50000,100,Japan,1
24,100.0,166.0,346.0,752.0,1742.0,3722.0,0.0,0.0,0.0,0.0,2.0,5.0,14,35,hybrid,50000,100,Japan,1
25,100.0,220.0,569.0,1318.0,2868.0,5961.0,0.0,0.0,0.0,2.0,10.0,15.0,14,35,hybrid,50000,100,Japan,1
26,100.0,231.0,597.0,1328.0,2986.0,6185.0,0.0,0.0,0.0,0.0,3.0,6.0,14,35,hybrid,50000,100,Japan,1
27,100.0,208.0,475.0,988.0,2221.0,4845.0,0.0,0.0,0.0,0.0,2.0,8.0,14,35,hybrid,50000,100,Japan,1
28,100.0,244.0,630.0,1448.0,3182.0,6519.0,0.0,0.0,0.0,1.0,6.0,9.0,14,35,hybrid,50000,100,Japan,1
29,100.0,246.0,591.0,1328.0,2785.0,5526.0,0.0,0.0,2.0,4.0,4.0,7.0,14,35,hybrid,50000,100,Japan,1
0,100.0,230.0,580.0,1248.0,2537.0,5029.0,0.0,0.0,0.0,0.0,3.0,7.0,14,35,hybrid,50000,100,France,1
1,100.0,237.0,583.0,1384.0,3022.0,6117.0,0.0,0.0,0.0,0.0,0.0,2.0,14,35,hybrid,50000,100,France,1
2,100.0,200.0,483.0,1097.0,2475.0,5174.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,50000,100,France,1
3,100.0,176.0,335.0,674.0,1365.0,2827.0,0.0,0.0,0.0,1.0,2.0,4.0,14,35,hybrid,50000,100,France,1
4,100.0,214.0,495.0,1109.0,2350.0,4822.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,hybrid,50000,100,France,1
5,100.0,217.0,472.0,978.0,1945.0,3726.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,hybrid,50000,100,France,1
