,cum_tests_1,cum_tests_2,cum_tests_3,cum_tests_4,cum_tests_5,cum_tests_6,cum_tests_7,cum_tests_8,cum_tests_9,cum_tests_10,cum_tests_11,cum_tests_12,cum_tests_13,n_quarantined_1,n_quarantined_2,n_quarantined_3,n_quarantined_4,n_quarantined_5,n_quarantined_6,n_quarantined_7,n_quarantined_8,n_quarantined_9,n_quarantined_10,n_quarantined_11,n_quarantined_12,n_quarantined_13,n_exposed_1,n_exposed_2,n_exposed_3,n_exposed_4,n_exposed_5,n_exposed_6,n_exposed_7,n_exposed_8,n_exposed_9,n_exposed_10,n_exposed_11,n_exposed_12,n_exposed_13,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_infections_7,cum_infections_8,cum_infections_9,cum_infections_10,cum_infections_11,cum_infections_12,cum_infections_13,cum_symptomatic_1,cum_symptomatic_2,cum_symptomatic_3,cum_symptomatic_4,cum_symptomatic_5,cum_symptomatic_6,cum_symptomatic_7,cum_symptomatic_8,cum_symptomatic_9,cum_symptomatic_10,cum_symptomatic_11,cum_symptomatic_12,cum_symptomatic_13,cum_severe_1,cum_severe_2,cum_severe_3,cum_severe_4,cum_severe_5,cum_severe_6,cum_severe_7,cum_severe_8,cum_severe_9,cum_severe_10,cum_severe_11,cum_severe_12,cum_severe_13,cum_critical_1,cum_critical_2,cum_critical_3,cum_critical_4,cum_critical_5,cum_critical_6,cum_critical_7,cum_critical_8,cum_critical_9,cum_critical_10,cum_critical_11,cum_critical_12,cum_critical_13,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,cum_deaths_7,cum_deaths_8,cum_deaths_9,cum_deaths_10,cum_deaths_11,cum_deaths_12,cum_deaths_13,quar_period,n_days,pop_type,pop_size,pop_infected,location,interventions
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,129.0,324.0,698.0,1531.0,3311.0,6962.0,13466.0,22693.0,31136.0,32134.0,24489.0,23204.0,37.0,62.0,172.0,439.0,971.0,2145.0,4759.0,10001.0,19776.0,34624.0,52182.0,66507.0,74861.0,0.0,15.0,45.0,135.0,335.0,805.0,1794.0,3965.0,8144.0,15779.0,26664.0,38390.0,47434.0,0.0,0.0,2.0,3.0,14.0,43.0,95.0,198.0,454.0,899.0,1675.0,2714.0,3709.0,0.0,0.0,0.0,0.0,2.0,10.0,23.0,56.0,136.0,259.0,467.0,801.0,1173.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,14.0,41.0,84.0,164.0,290.0,14,84,hybrid,100000,37,UK,"[cv.test_prob(symp_prob=0, asymp_prob=0, symp_quar_prob=0, asymp_quar_prob=0, quar_policy=None, subtarget=None, ili_prev=None, sensitivity=1.0, loss_prob=0.0, test_delay=0, start_day=0, end_day=None, swab_delay=None)]"
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,129.0,272.0,583.0,1183.0,2589.0,5891.0,12249.0,22228.0,31325.0,32928.0,25326.0,23819.0,37.0,67.0,173.0,380.0,834.0,1745.0,3792.0,8496.0,17622.0,32857.0,50668.0,65525.0,74121.0,0.0,28.0,68.0,160.0,344.0,709.0,1431.0,3242.0,7070.0,14286.0,25314.0,37514.0,46724.0,0.0,0.0,2.0,4.0,19.0,37.0,74.0,153.0,334.0,725.0,1424.0,2426.0,3467.0,0.0,0.0,0.0,4.0,8.0,11.0,21.0,40.0,86.0,187.0,385.0,696.0,1057.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,9.0,13.0,37.0,73.0,130.0,251.0,14,84,hybrid,100000,37,UK,"[cv.test_prob(symp_prob=0, asymp_prob=0, symp_quar_prob=0, asymp_quar_prob=0, quar_policy=None, subtarget=None, ili_prev=None, sensitivity=1.0, loss_prob=0.0, test_delay=0, start_day=0, end_day=None, swab_delay=None)]"
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,206.0,478.0,1055.0,2459.0,5818.0,11902.0,21334.0,30939.0,33619.0,26464.0,16248.0,14970.0,37.0,81.0,265.0,621.0,1474.0,3462.0,8044.0,16858.0,31398.0,49706.0,65154.0,74272.0,78697.0,0.0,26.0,87.0,234.0,544.0,1278.0,2925.0,6701.0,13653.0,24425.0,36821.0,46496.0,52003.0,0.0,0.0,2.0,14.0,31.0,63.0,142.0,322.0,711.0,1403.0,2401.0,3496.0,4326.0,0.0,0.0,0.0,1.0,4.0,12.0,34.0,90.0,188.0,396.0,695.0,1079.0,1406.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,12.0,29.0,62.0,126.0,247.0,414.0,14,84,hybrid,100000,37,UK,"[cv.test_prob(symp_prob=0, asymp_prob=0, symp_quar_prob=0, asymp_quar_prob=0, quar_policy=None, subtarget=None, ili_prev=None, sensitivity=1.0, loss_prob=0.0, test_delay=0, start_day=0, end_day=None, swab_delay=None)]"
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,302.0,775.0,1846.0,4403.0,9435.0,18091.0,28185.0,33495.0,29251.0,19514.0,11057.0,10172.0,37.0,132.0,385.0,1012.0,2486.0,6026.0,13347.0,26000.0,43451.0,60388.0,71525.0,77372.0,80124.0,0.0,32.0,117.0,348.0,890.0,2187.0,5112.0,10907.0,20634.0,32836.0,43702.0,50464.0,53857.0,0.0,0.0,6.0,11.0,37.0,100.0,236.0,546.0,1136.0,2043.0,3082.0,4005.0,4632.0,0.0,0.0,3.0,5.0,12.0,27.0,61.0,135.0,297.0,588.0,946.0,1272.0,1522.0,0.0,0.0,0.0,0.0,1.0,4.0,10.0,22.0,46.0,102.0,214.0,332.0,485.0,14,84,hybrid,100000,37,UK,"[cv.test_prob(symp_prob=0, asymp_prob=0, symp_quar_prob=0, asymp_quar_prob=0, quar_policy=None, subtarget=None, ili_prev=None, sensitivity=1.0, loss_prob=0.0, test_delay=0, start_day=0, end_day=None, swab_delay=None)]"
0,10000.0,79985.0,149921.0,219829.0,289720.0,359596.0,429465.0,499332.0,569199.0,639066.0,708933.0,778800.0,848667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,8.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,13.0,16.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,0.0,5.0,9.0,11.0,12.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,84,hybrid,10000,7,Rwanda,"[cv.test_prob(symp_prob=1, asymp_prob=1, symp_quar_prob=1, asymp_quar_prob=1, quar_policy=None, subtarget=None, ili_prev=None, sensitivity=1.0, loss_prob=0.0, test_delay=0, start_day=0, end_day=None, swab_delay=None)]"
1,10000.0,79992.0,149926.0,219839.0,289748.0,359657.0,429566.0,499475.0,569384.0,639293.0,709202.0,779111.0,849020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,0.0,5.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,84,hybrid,10000,7,Rwanda,"[cv.test_prob(symp_prob=1, asymp_prob=1, symp_quar_prob=1, asymp_quar_prob=1, quar_policy=None, subtarget=None, ili_prev=None, sensitivity=1.0, loss_prob=0.0, test_delay=0, start_day=0, end_day=None, swab_delay=None)]"
2,10000.0,79978.0,149919.0,219830.0,289738.0,359640.0,429542.0,499444.0,569346.0,639248.0,709150.0,779052.0,848954.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,4.0,7.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,84,hybrid,10000,7,Rwanda,"[cv.test_prob(symp_prob=1, asymp_prob=1, symp_quar_prob=1, asymp_quar_prob=1, quar_policy=None, subtarget=None, ili_prev=None, sensitivity=1.0, loss_prob=0.0, test_delay=0, start_day=0, end_day=None, swab_delay=None)]"
3,10000.0,79982.0,149937.0,219883.0,289827.0,359771.0,429715.0,499659.0,569603.0,639547.0,709491.0,779435.0,849379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,84,hybrid,10000,7,Rwanda,"[cv.test_prob(symp_prob=1, asymp_prob=1, symp_quar_prob=1, asymp_quar_prob=1, quar_policy=None, subtarget=None, ili_prev=None, sensitivity=1.0, loss_prob=0.0, test_delay=0, start_day=0, end_day=None, swab_delay=None)]"
4,10000.0,79986.0,149937.0,219861.0,289771.0,359680.0,429589.0,499498.0,569407.0,639316.0,709225.0,779134.0,849043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,0.0,5.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,84,hybrid,10000,7,Rwanda,"[cv.test_prob(symp_prob=1, asymp_prob=1, symp_quar_prob=1, asymp_quar_prob=1, quar_policy=None, subtarget=None, ili_prev=None, sensitivity=1.0, loss_prob=0.0, test_delay=0, start_day=0, end_day=None, swab_delay=None)]"
5,10000.0,79985.0,149938.0,219882.0,289826.0,359770.0,429714.0,499658.0,569602.0,639546.0,709490.0,779434.0,849378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,84,hybrid,10000,7,Rwanda,"[cv.test_prob(symp_prob=1, asymp_prob=1, symp_quar_prob=1, asymp_quar_prob=1, quar_policy=None, subtarget=None, ili_prev=None, sensitivity=1.0, loss_prob=0.0, test_delay=0, start_day=0, end_day=None, swab_delay=None)]"
