,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_symptomatic_1,cum_symptomatic_2,cum_symptomatic_3,cum_symptomatic_4,cum_symptomatic_5,cum_symptomatic_6,cum_severe_1,cum_severe_2,cum_severe_3,cum_severe_4,cum_severe_5,cum_severe_6,cum_critical_1,cum_critical_2,cum_critical_3,cum_critical_4,cum_critical_5,cum_critical_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,cum_vaccinated_1,cum_vaccinated_2,cum_vaccinated_3,cum_vaccinated_4,cum_vaccinated_5,cum_vaccinated_6,quar_period,n_days,pop_type,pop_size,pop_infected,location,interventions
16,100.0,249.0,687.0,1680.0,3836.0,8211.0,0.0,62.0,216.0,609.0,1446.0,3245.0,0.0,2.0,5.0,25.0,59.0,148.0,0.0,1.0,1.0,11.0,19.0,47.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,50000,100,UK,none
17,100.0,230.0,628.0,1463.0,3274.0,6969.0,0.0,56.0,195.0,498.0,1255.0,2697.0,0.0,0.0,3.0,14.0,49.0,128.0,0.0,0.0,1.0,3.0,11.0,31.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,50000,100,UK,none
18,100.0,232.0,605.0,1459.0,3158.0,6487.0,0.0,57.0,190.0,511.0,1171.0,2589.0,0.0,0.0,4.0,20.0,52.0,127.0,0.0,0.0,0.0,3.0,12.0,34.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,50000,100,UK,none
19,100.0,229.0,614.0,1444.0,3183.0,6684.0,0.0,62.0,211.0,509.0,1178.0,2599.0,0.0,1.0,9.0,22.0,50.0,107.0,0.0,0.0,2.0,9.0,22.0,35.0,0.0,0.0,0.0,2.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,50000,100,UK,none
20,100.0,225.0,585.0,1439.0,3131.0,6520.0,0.0,63.0,187.0,487.0,1160.0,2522.0,0.0,0.0,8.0,21.0,47.0,118.0,0.0,0.0,2.0,5.0,9.0,30.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,50000,100,UK,none
21,100.0,211.0,632.0,1450.0,3254.0,6879.0,0.0,68.0,188.0,554.0,1209.0,2701.0,0.0,2.0,7.0,25.0,56.0,139.0,0.0,0.0,2.0,6.0,9.0,30.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,50000,100,UK,none
22,100.0,260.0,721.0,1730.0,3873.0,8190.0,0.0,62.0,233.0,593.0,1420.0,3193.0,0.0,0.0,4.0,23.0,64.0,157.0,0.0,0.0,0.0,6.0,13.0,42.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,50000,100,UK,none
23,100.0,292.0,851.0,2221.0,5076.0,10265.0,0.0,69.0,250.0,733.0,1857.0,4073.0,0.0,1.0,8.0,24.0,83.0,189.0,0.0,1.0,1.0,5.0,18.0,46.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,50000,100,UK,none
24,100.0,188.0,447.0,999.0,2227.0,4971.0,0.0,67.0,153.0,383.0,809.0,1892.0,0.0,1.0,4.0,7.0,23.0,72.0,0.0,0.0,1.0,1.0,3.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,50000,100,UK,none
25,100.0,246.0,731.0,1864.0,4296.0,9274.0,0.0,65.0,221.0,626.0,1568.0,3647.0,0.0,0.0,7.0,18.0,51.0,135.0,0.0,0.0,0.0,1.0,14.0,36.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,50000,100,UK,none
26,100.0,218.0,524.0,1204.0,2694.0,5790.0,0.0,57.0,176.0,437.0,987.0,2221.0,0.0,0.0,6.0,14.0,43.0,91.0,0.0,0.0,0.0,3.0,12.0,25.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,50000,100,UK,none
27,100.0,224.0,593.0,1464.0,3406.0,7393.0,0.0,64.0,201.0,525.0,1250.0,2860.0,0.0,2.0,4.0,18.0,57.0,134.0,0.0,2.0,2.0,4.0,22.0,37.0,0.0,0.0,1.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,50000,100,UK,none
28,100.0,278.0,704.0,1751.0,4166.0,9156.0,0.0,65.0,231.0,596.0,1468.0,3459.0,0.0,0.0,7.0,24.0,66.0,147.0,0.0,0.0,0.0,5.0,13.0,35.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,50000,100,UK,none
29,100.0,251.0,687.0,1575.0,3467.0,7267.0,0.0,64.0,193.0,565.0,1287.0,2814.0,0.0,1.0,5.0,19.0,58.0,124.0,0.0,0.0,2.0,3.0,12.0,35.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,50000,100,UK,none
