,treatment,control,estimate,confidence_intervals
0,pfizer,Baseline,-39717.2,"(-39945.41511117581, -39488.98488882417)"
1,moderna,Baseline,-39713.399999999994,"(-39941.663071435454, -39485.13692856452)"
2,az,Baseline,-38719.50000000001,"(-38992.51761019506, -38446.48238980495)"
3,Baseline,Baseline,0.0,"(0.0, 0.0)"
